temps(s)	Ti1	Ti2	Ti3	Ti4	Ti5	To1	To2	To3	Ts1	To5	To4	T1	T2	T3	T4	T5	T_marchepas	T6	T7	T8	T9	T10	T11	T12	T13	diff_pression	Debit(kg/s)	frequence(hz)	pression_statique(pascal)	Ts2
524,000000	19,691414	0,000000	0,000000	0,000000	0,000000	23,930576	24,235489	22,767591	23,427853	23,154882	24,145773	20,633476	20,437775	21,210648	21,569363	23,635115	20,490000	23,379999	25,590000	22,709999	20,119999	20,129999	19,939999	19,879999	19,840000	340282346638528860000000000000000000000,000000	0,023425	20,000000	100038,000000	21,600000
526,000000	19,791143	0,000000	0,000000	0,000000	0,000000	23,925524	24,225384	22,752422	23,432905	23,154882	24,145773	20,658733	20,542568	21,310387	21,653933	23,625010	20,490000	23,389999	25,570000	22,730000	20,119999	20,129999	19,939999	19,879999	19,840000	604,389038	0,023344	20,000000	100038,000000	21,600000
528,000000	19,776005	0,000000	0,000000	0,000000	0,000000	23,910349	24,220312	22,757473	23,432905	23,164984	24,150826	20,643591	20,542568	21,295221	21,653933	23,464626	20,490000	23,340000	25,559999	22,740000	20,119999	20,129999	19,939999	19,869999	19,830000	340282346638528860000000000000000000000,000000	0,023339	20,000000	100042,007812	21,600000
530,000000	19,760847	0,000000	0,000000	0,000000	0,000000	23,920473	24,220312	22,762522	23,432905	23,170053	24,150826	20,633476	20,557709	21,300268	21,648884	23,474731	20,490000	23,320000	25,559999	22,730000	20,129999	20,129999	19,939999	19,859999	19,840000	340282346638528860000000000000000000000,000000	0,023779	20,000000	100042,007812	21,600000
532,000000	19,750734	0,000000	0,000000	0,000000	0,000000	23,920473	24,215258	22,767591	23,432905	23,149830	24,150826	20,638525	20,557709	21,305338	21,674147	23,459576	20,490000	23,340000	25,580000	22,719999	20,119999	20,139999	19,939999	19,859999	19,830000	340282346638528860000000000000000000000,000000	0,023443	20,000000	100042,007812	21,600000
534,000000	19,770937	0,000000	0,000000	0,000000	0,000000	23,920473	24,230436	22,782745	23,432905	23,154882	24,155878	20,638525	20,547615	21,295221	21,659000	23,449453	20,480000	23,330000	25,580000	22,730000	20,129999	20,139999	19,949999	19,879999	19,830000	585,301025	0,023580	20,000000	100042,007812	21,600000
536,000000	19,776005	0,000000	0,000000	0,000000	0,000000	23,915421	24,225384	22,767591	23,312958	23,164984	24,145773	20,628429	20,542568	21,305338	21,659000	23,523895	20,490000	23,289999	25,559999	22,719999	20,129999	20,139999	19,949999	19,889999	19,830000	617,423035	0,023603	20,000000	100042,007812	21,600000
538,000000	19,750734	0,000000	0,000000	0,000000	0,000000	23,915421	24,205132	22,767591	23,318010	23,175104	24,135666	20,643591	20,537519	21,275028	21,483471	23,539070	20,480000	23,250000	25,529999	22,769999	20,129999	20,129999	19,949999	19,879999	19,820000	603,260010	0,023384	20,000000	100038,000000	21,700001
540,000000	19,620689	0,000000	0,000000	0,000000	0,000000	23,900242	24,189974	22,762522	23,312958	23,175104	24,130594	20,628429	20,522358	21,119699	21,557943	23,539070	20,480000	23,289999	25,500000	22,789999	20,129999	20,129999	19,949999	19,879999	19,820000	340282346638528860000000000000000000000,000000	0,023414	20,000000	100042,007812	21,700001
542,000000	19,610596	0,000000	0,000000	0,000000	0,000000	23,895191	24,189974	22,752422	23,312958	23,180159	24,135666	20,498383	20,527405	21,104553	21,453159	23,539070	20,480000	23,309999	25,500000	22,750000	20,129999	20,139999	19,949999	19,889999	19,809999	340282346638528860000000000000000000000,000000	0,023775	20,000000	100042,007812	21,700001
544,000000	19,620689	0,000000	0,000000	0,000000	0,000000	23,900242	24,205132	22,767591	23,318010	23,170053	24,145773	20,628429	20,537519	21,269960	21,643833	23,454504	20,480000	23,320000	25,519999	22,730000	20,129999	20,139999	19,949999	19,889999	19,809999	591,001038	0,023723	20,000000	100042,007812	21,700001
546,000000	19,760847	0,000000	0,000000	0,000000	0,000000	23,915421	24,210205	22,777693	23,312958	23,164984	24,150826	20,643591	20,547615	21,290173	21,653933	23,449453	20,480000	23,320000	25,529999	22,740000	20,129999	20,139999	19,949999	19,910000	19,809999	340282346638528860000000000000000000000,000000	0,023647	20,000000	100038,000000	21,700001
548,000000	19,750734	0,000000	0,000000	0,000000	0,000000	23,915421	24,225384	22,787815	23,312958	23,170053	24,160950	20,648640	20,547615	21,295221	21,659000	23,528965	20,480000	23,289999	25,539999	22,750000	20,129999	20,139999	19,949999	19,910000	19,809999	600,112000	0,023431	20,000000	100042,007812	21,700001
550,000000	19,755800	0,000000	0,000000	0,000000	0,000000	23,925524	24,205132	22,782745	23,318010	23,185209	24,150826	20,643591	20,542568	21,300268	21,638784	23,539070	20,480000	23,299999	25,529999	22,740000	20,129999	20,150000	19,949999	19,910000	19,799999	340282346638528860000000000000000000000,000000	0,023370	20,000000	100042,007812	21,700001
552,000000	19,755800	0,000000	0,000000	0,000000	0,000000	23,935650	24,205132	22,782745	23,328133	23,185209	24,150826	20,643591	20,532473	21,290173	21,633736	23,528965	20,480000	23,269999	25,529999	22,750000	20,129999	20,150000	19,949999	19,930000	19,799999	612,047058	0,023342	20,000000	100042,007812	21,700001
554,000000	19,755800	0,000000	0,000000	0,000000	0,000000	23,930576	24,200079	22,777693	23,323080	23,070311	24,155878	20,648640	20,542568	21,275028	21,488522	23,363514	20,480000	23,279999	25,519999	22,799999	20,129999	20,150000	19,949999	19,959999	19,809999	340282346638528860000000000000000000000,000000	0,023582	20,000000	100042,007812	21,700001
556,000000	19,765892	0,000000	0,000000	0,000000	0,000000	23,935650	24,309900	22,792866	23,328133	23,085485	24,145773	20,643591	20,537519	21,280077	21,483471	23,358461	20,480000	23,230000	25,519999	22,789999	20,129999	20,150000	19,949999	19,959999	19,809999	340282346638528860000000000000000000000,000000	0,023706	20,000000	100042,007812	21,700001
558,000000	19,750734	0,000000	0,000000	0,000000	0,000000	23,925524	24,195026	22,782745	23,323080	23,085485	24,135666	20,648640	20,537519	21,285124	21,628668	23,513792	20,480000	23,260000	25,519999	22,779999	20,129999	20,150000	19,949999	19,949999	19,820000	340282346638528860000000000000000000000,000000	0,023554	20,000000	100042,007812	21,600000
560,000000	19,760847	0,000000	0,000000	0,000000	0,000000	23,930576	24,210205	22,792866	23,328133	23,090536	24,140718	20,648640	20,532473	21,305338	21,643833	23,534019	20,480000	23,269999	25,500000	22,760000	20,129999	20,160000	19,949999	19,959999	19,830000	619,362000	0,023640	20,000000	100042,007812	21,600000
562,000000	19,760847	0,000000	0,000000	0,000000	0,000000	23,925524	24,210205	22,787815	23,333183	23,090536	24,140718	20,663782	20,532473	21,310387	21,659000	23,528965	20,480000	23,299999	25,529999	22,769999	20,129999	20,160000	19,949999	19,959999	19,830000	340282346638528860000000000000000000000,000000	0,023586	20,000000	100042,007812	21,600000
564,000000	19,750734	0,000000	0,000000	0,000000	0,000000	23,930576	24,215258	22,802967	23,333183	23,095587	24,145773	20,668848	20,532473	21,200531	21,664049	23,508739	20,469999	23,279999	25,549999	22,769999	20,129999	20,160000	19,949999	19,949999	19,830000	340282346638528860000000000000000000000,000000	0,023684	20,000000	100042,007812	21,600000
566,000000	19,755800	0,000000	0,000000	0,000000	0,000000	23,915421	24,200079	22,797916	23,333183	23,080433	24,145773	20,673895	20,527405	21,195482	21,569363	23,323080	20,480000	23,219999	25,529999	22,769999	20,129999	20,160000	19,949999	19,949999	19,830000	612,804016	0,023413	20,000000	100042,007812	21,600000
568,000000	19,765892	0,000000	0,000000	0,000000	0,000000	23,925524	24,215258	22,787815	23,333183	23,075380	24,135666	20,673895	20,517311	21,190435	21,579460	23,432905	20,480000	23,189999	25,519999	22,769999	20,129999	20,160000	19,949999	19,949999	19,830000	340282346638528860000000000000000000000,000000	0,023639	20,000000	100042,007812	21,600000
570,000000	19,760847	0,000000	0,000000	0,000000	0,000000	23,920473	24,205132	22,792866	23,338234	23,080433	24,145773	20,574152	20,532473	21,305338	21,659000	23,343287	20,480000	23,160000	25,510000	22,789999	20,129999	20,160000	19,949999	19,939999	19,830000	340282346638528860000000000000000000000,000000	0,023464	20,000000	100042,007812	21,600000
572,000000	19,776005	0,000000	0,000000	0,000000	0,000000	23,920473	24,205132	22,792866	23,343287	23,085485	24,160950	20,683992	20,557709	21,300268	21,638784	23,503689	20,469999	23,250000	25,529999	22,809999	20,129999	20,160000	19,949999	19,930000	19,830000	340282346638528860000000000000000000000,000000	0,023460	20,000000	100038,000000	21,700001
574,000000	19,791143	0,000000	0,000000	0,000000	0,000000	23,820755	24,215258	22,797916	23,338234	23,090536	24,155878	20,683992	20,437775	21,200531	21,679197	23,454504	20,469999	23,309999	25,559999	22,779999	20,129999	20,160000	19,949999	19,920000	19,820000	608,743042	0,023619	20,000000	100038,000000	21,700001
576,000000	19,806299	0,000000	0,000000	0,000000	0,000000	23,820755	24,220312	22,802967	23,338234	23,095587	24,166002	20,569086	20,452919	21,210648	21,669098	23,454504	20,480000	23,359999	25,570000	22,799999	20,129999	20,160000	19,959999	19,920000	19,830000	610,374023	0,023521	20,000000	100038,000000	21,700001
578,000000	19,696459	0,000000	0,000000	0,000000	0,000000	23,820755	24,225384	22,688087	23,343287	23,105709	24,171055	20,594343	20,468079	21,215696	21,574411	23,513792	20,469999	23,320000	25,580000	22,789999	20,129999	20,160000	19,959999	19,910000	19,820000	603,824036	0,023672	20,000000	100042,007812	21,700001
580,000000	19,811348	0,000000	0,000000	0,000000	0,000000	23,830877	24,245615	22,688087	23,348358	23,095587	24,176109	20,609505	20,447868	21,225794	21,579460	23,348358	20,469999	23,240000	25,549999	22,799999	20,129999	20,160000	19,959999	19,910000	19,820000	610,746033	0,023895	20,000000	100042,007812	21,700001
582,000000	19,806299	0,000000	0,000000	0,000000	0,000000	23,830877	24,235489	22,688087	23,348358	23,085485	24,181162	20,609505	20,557709	21,376057	21,594627	23,373615	20,469999	23,209999	25,549999	22,789999	20,129999	20,160000	19,959999	19,900000	19,830000	340282346638528860000000000000000000000,000000	0,023582	20,000000	100038,000000	21,700001
585,000000	19,811348	0,000000	0,000000	0,000000	0,000000	23,840982	24,245615	22,698189	23,353411	23,075380	24,176109	20,594343	20,547615	21,391220	21,770157	23,523895	20,469999	23,240000	25,559999	22,789999	20,129999	20,160000	19,959999	19,900000	19,820000	340282346638528860000000000000000000000,000000	0,023600	20,000000	100038,000000	21,700001
587,000000	19,696459	0,000000	0,000000	0,000000	0,000000	23,851109	24,375669	22,718410	23,358461	23,080433	24,181162	20,594343	20,547615	21,391220	21,785305	23,544123	20,469999	23,309999	25,559999	22,799999	20,129999	20,160000	19,959999	19,889999	19,820000	340282346638528860000000000000000000000,000000	0,023627	20,000000	100038,000000	21,700001
589,000000	19,701506	0,000000	0,000000	0,000000	0,000000	23,840982	24,245615	22,708309	23,358461	23,085485	24,186214	20,599411	20,552662	21,386171	21,780256	23,539070	20,469999	23,299999	25,559999	22,830000	20,129999	20,150000	19,959999	19,889999	19,820000	615,175049	0,023477	20,000000	100038,000000	21,700001
591,000000	19,706551	0,000000	0,000000	0,000000	0,000000	23,866264	24,245615	22,708309	23,358461	23,095587	24,186214	20,594343	20,452919	21,240957	21,619890	23,358461	20,469999	23,240000	25,559999	22,830000	20,129999	20,150000	19,959999	19,889999	19,830000	622,806030	0,023483	20,000000	100038,000000	21,700001
593,000000	19,701506	0,000000	0,000000	0,000000	0,000000	23,851109	24,375669	22,708309	23,363514	23,105709	24,076391	20,614552	20,468079	21,225794	21,594627	23,373615	20,469999	23,230000	25,570000	22,840000	20,129999	20,150000	19,959999	19,889999	19,830000	340282346638528860000000000000000000000,000000	0,023516	20,000000	100038,000000	21,700001
595,000000	19,696459	0,000000	0,000000	0,000000	0,000000	23,861212	24,385775	22,713360	23,368565	23,120865	24,066286	20,599411	20,473125	21,246006	21,609774	23,508739	20,469999	23,260000	25,559999	22,809999	20,129999	20,150000	19,959999	19,879999	19,830000	622,713013	0,023648	20,000000	100038,000000	21,700001
597,000000	19,701506	0,000000	0,000000	0,000000	0,000000	24,011496	24,390846	22,703260	23,368565	23,110760	24,186214	20,619600	20,473125	21,376057	21,760038	23,368565	20,469999	23,250000	25,580000	22,820000	20,129999	20,139999	19,959999	19,879999	19,820000	340282346638528860000000000000000000000,000000	0,023804	20,000000	100038,000000	21,700001
599,000000	19,811348	0,000000	0,000000	0,000000	0,000000	24,006443	24,406006	22,718410	23,373615	23,095587	24,071339	20,604458	20,468079	21,391220	21,790354	23,518843	20,469999	23,250000	25,570000	22,799999	20,129999	20,139999	19,949999	19,889999	19,830000	620,749023	0,023675	20,000000	100038,000000	21,700001
601,000000	19,691414	0,000000	0,000000	0,000000	0,000000	24,006443	24,406006	22,708309	23,508739	23,100658	24,186214	20,589294	20,447868	21,411434	21,775206	23,549173	20,469999	23,279999	25,570000	22,769999	20,119999	20,139999	19,949999	19,889999	19,820000	340282346638528860000000000000000000000,000000	0,023665	20,000000	100038,000000	21,700001
603,000000	19,811348	0,000000	0,000000	0,000000	0,000000	24,001390	24,395901	22,708309	23,503689	23,100658	24,186214	20,569086	20,442822	21,411434	21,765087	23,464626	20,459999	23,320000	25,599998	22,769999	20,129999	20,129999	19,949999	19,900000	19,820000	611,766052	0,023593	20,000000	100038,000000	21,700001
605,000000	19,691414	0,000000	0,000000	0,000000	0,000000	23,871336	24,395901	22,708309	23,503689	23,090536	24,071339	20,574152	20,447868	21,411434	21,790354	23,484835	20,459999	23,369999	25,629999	22,769999	20,119999	20,139999	19,949999	19,900000	19,830000	340282346638528860000000000000000000000,000000	0,023087	20,000000	100038,000000	21,700001
607,000000	19,801254	0,000000	0,000000	0,000000	0,000000	23,866264	24,411079	22,713360	23,513792	23,090536	24,081444	20,584248	20,452919	21,396269	21,609774	23,489906	20,459999	23,379999	25,609999	22,799999	20,119999	20,129999	19,949999	19,910000	19,820000	585,571045	0,023863	20,000000	100042,007812	21,700001
610,000000	19,786097	0,000000	0,000000	0,000000	0,000000	23,851109	24,400953	22,713360	23,513792	23,095587	24,066286	20,678942	20,447868	21,376057	21,584509	23,645239	20,459999	23,369999	25,609999	22,789999	20,119999	20,129999	19,949999	19,910000	19,809999	616,267029	0,023627	20,000000	100038,000000	21,700001
